"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990707_003.tif","Page","Page 3","3","ark:/21198/z15v2tkc","ark:/21198/z1mm5n47","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mm5n47"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990708_001.tif","Page","Page 1","1","ark:/21198/z12322sf","ark:/21198/z1gz3krx","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gz3krx"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990708_002.tif","Page","Page 2","2","ark:/21198/z12322sf","ark:/21198/z1c62v48","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c62v48"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990708_003.tif","Page","Page 3","3","ark:/21198/z12322sf","ark:/21198/z17f23gt","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17f23gt"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990710_001.tif","Page","Page 1","1","ark:/21198/z1xb1k95","ark:/21198/z13p1bqn","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13p1bqn"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990710_002.tif","Page","Page 2","2","ark:/21198/z1xb1k95","ark:/21198/z1zx0v41","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zx0v41"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990710_003.tif","Page","Page 3","3","ark:/21198/z1xb1k95","ark:/21198/z1v503cj","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v503cj"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990711_001.tif","Page","Page 1","1","ark:/21198/z1sn9hzr","ark:/21198/z1qc9bq5","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc9bq5"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990711_002.tif","Page","Page 2","2","ark:/21198/z1sn9hzr","ark:/21198/z1kq79cq","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kq79cq"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990711_003.tif","Page","Page 3","3","ark:/21198/z1sn9hzr","ark:/21198/z1fz6jqw","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fz6jqw"
